lag,mean,std
-96,0.2344276009157905,0.07993144779238219
-95,0.22970986334665525,0.07811185584854277
-94,0.22596870686786735,0.0762872828498007
-93,0.22241071119690245,0.07463144671872442
-92,0.2198231474900794,0.07428166976589162
-91,0.21746495998657622,0.07280085140382257
-90,0.2159018085161989,0.07218058257305722
-89,0.2130232134729965,0.07140135454932632
-88,0.2105682203227929,0.07196719426093805
-87,0.21163871519511726,0.0716394276673198
-86,0.21466008455713195,0.07096575439340068
-85,0.21935100983927153,0.07031309187728144
-84,0.22353273532176354,0.06810701507941014
-83,0.22792570833616493,0.06803852038993402
-82,0.23235413193699686,0.0682146131099486
-81,0.23587388819798755,0.0690978413177482
-80,0.23849928681542862,0.06906490445441235
-79,0.24116285371793167,0.06970334414557885
-78,0.2423930526545376,0.07001340804781597
-77,0.242334518310553,0.06977283141504512
-76,0.24183373341688677,0.06892948987461914
-75,0.24028855515920455,0.0693224999842979
-74,0.2376002916504923,0.06889992483080662
-73,0.2351076813538378,0.06955690074438228
-72,0.23329864500288514,0.07039036332071519
-71,0.232632560147382,0.07192355035179293
-70,0.23341075489677407,0.07295674792847451
-69,0.2336655468954515,0.0738760313978097
-68,0.23479904898982762,0.07444851448212278
-67,0.23576332449874307,0.07403141378997886
-66,0.23808933988262068,0.07312728211529533
-65,0.24055335562790509,0.07249396817467128
-64,0.24273016181783383,0.07246673765197631
-63,0.24564240109453347,0.07219100076204009
-62,0.2508841811949352,0.07270731676100187
-61,0.25519253898342054,0.07170780616272243
-60,0.2608514902346389,0.07022821472585197
-59,0.2669177291570964,0.06983311691613664
-58,0.2731231545851598,0.07110914790429958
-57,0.2764914486847351,0.07213061578500457
-56,0.27777420092726024,0.07262487705394617
-55,0.27743795861057147,0.07124210881683564
-54,0.27596682602611267,0.07048537528231108
-53,0.2735715176826702,0.07101973234931537
-52,0.26966716986712463,0.07041826045893053
-51,0.26668547472122,0.07006072141199735
-50,0.2617312154293854,0.06967389992343971
-49,0.25621503368566106,0.06968108000828495
-48,0.24854490146149708,0.06936864334644922
-47,0.24346879770859858,0.07017253296068068
-46,0.23925269412562725,0.06982715300937829
-45,0.23551360918252032,0.06936307644086112
-44,0.2324284342022979,0.06881111150167968
-43,0.23021044207735203,0.06830213069447591
-42,0.22813826254755115,0.06718847393058958
-41,0.22488277448109767,0.06503858392329409
-40,0.22165984319591397,0.06367575648398924
-39,0.22033335184154382,0.06373797832403433
-38,0.22230724695988663,0.062265554735679914
-37,0.22491560460617196,0.06154183850776596
-36,0.22866765459731747,0.05988531778912099
-35,0.2320271486104944,0.05945255343332493
-34,0.23472916626350865,0.060110056337186975
-33,0.2379619497601175,0.060463436522883815
-32,0.2410309159702447,0.06133346126439468
-31,0.2435049996042073,0.06162546342094219
-30,0.2454032168072195,0.061794605176437055
-29,0.24485139624774604,0.06106032714287233
-28,0.2437186225816035,0.06011875882527025
-27,0.24169634204857104,0.059300568526429724
-26,0.23903758711191897,0.058168183282314656
-25,0.2359007900770915,0.05741820134698716
-24,0.2340971084278268,0.05836461187459609
-23,0.2337624798397177,0.0593134378163175
-22,0.23443997277327672,0.060624137107905166
-21,0.23504112475732458,0.06252151430033773
-20,0.2360874935958724,0.06325762414476771
-19,0.23823315749407795,0.0641821258569432
-18,0.24108782071499027,0.06466298569225061
-17,0.2442743262491831,0.06491975860939182
-16,0.24859575406930917,0.06558334264411887
-15,0.25279422813499053,0.06718714395520059
-14,0.25787014559015936,0.06705120498816294
-13,0.26372254812307566,0.06745103698084778
-12,0.2678235853000767,0.06699188946962348
-11,0.27389125630123456,0.06816176702648875
-10,0.27979839525490535,0.06855819316574654
-9,0.28279061892567825,0.06960949147540063
-8,0.28405720331381656,0.07071545086708429
-7,0.284051583973815,0.07186813613381568
-6,0.28305524865545406,0.07160932050361617
-5,0.2796200384947708,0.07214105147912347
-4,0.2759611176294805,0.07356123209161045
-3,0.2706723714659188,0.07422552628138714
-2,0.2647429065236793,0.07462250956045448
-1,0.25610477271689647,0.07494968333689203
0,0.24815903981930582,0.0756439887791187
1,0.24036363969368343,0.07616682489179573
2,0.23438625723152345,0.07571658784428681
3,0.22885743247771423,0.07546518410217637
4,0.22250604686925557,0.07642018096825907
5,0.2182207811421115,0.07704568817693999
6,0.2145388258098462,0.07844061403541534
7,0.21003841384174635,0.07885862369417045
8,0.20704209350461072,0.07972771152917817
9,0.20565257463077427,0.08082280413162139
10,0.2073046176543931,0.08338358795050697
11,0.2111074916607964,0.08549853004212489
12,0.21457838781404034,0.08732235577757001
13,0.21717310028773615,0.08950225285273848
14,0.22054771279199653,0.09124712762315795
15,0.22394397234004512,0.09198712975964211
16,0.22630980359631844,0.09229095898003015
17,0.22911204913932048,0.09207175191570659
18,0.23025239364666306,0.09181163720881735
19,0.23104473342630666,0.08954954207164252
20,0.23024636652229694,0.08723632647546235
21,0.22837700554071197,0.08498907449390285
22,0.22763802248711867,0.08131084731126668
23,0.2267905602112291,0.0778418123739706
24,0.22494848515615617,0.07413585701529854
25,0.22556819995938487,0.0724371869760774
26,0.2260167492632291,0.07014202067560621
27,0.22699781025648255,0.06845963357714414
28,0.22736474384228242,0.0670000757020674
29,0.22858498373821348,0.06520835390700316
30,0.2309656040120629,0.06370070527142487
31,0.23370914564609724,0.06263732416169128
32,0.2369441772054389,0.059906245067367435
33,0.24137547152711342,0.05963938944396763
34,0.24596096970564474,0.05862380810907828
35,0.25053366444444813,0.05700154413915678
36,0.2546165738078349,0.05585424411240374
37,0.2583165980389335,0.05480623262212173
38,0.26341799440708785,0.055450759486967684
39,0.26628591172230176,0.05611746415616401
40,0.2666761879327599,0.05674529709092039
41,0.2657405911316886,0.05726932737379651
42,0.2642262157449182,0.057815763042871865
43,0.2609095728075588,0.05817877181676093
44,0.2572992508479751,0.058099782813604756
45,0.2529533843243692,0.05910222292631647
46,0.24805223992351555,0.058057057441081826
47,0.2426950488545336,0.0588159098608433
48,0.2348276204570642,0.058604115652171405
