Before,During,After
0.03205158900443661,0.19203566264101812,0.1991414602711561
0.19203566264101812,0.1991414602711561,0.18682991527763348
0.1991414602711561,0.1867241928484562,0.11770109272720153
0.18682991527763348,0.11770109272720153,0.12676469551136704
0.12289277075898497,0.15893034301978282,0.17938504922418141
0.25455256826699224,0.2775289065933898,0.27641791916446734
0.2775289065933898,0.27641791916446734,0.23675730848397858
0.27641791916446734,0.23675730848397858,0.2459063523335745
0.23675730848397858,0.2459063523335745,0.19291403424686543
0.2459063523335745,0.1938812985269906,0.19708373883300817
0.2734001769470482,0.3246676003888931,0.2879510992171494
0.3246676003888931,0.2878000041725696,0.23913472376641476
0.2878000041725696,0.23913472376641476,0.24336920450627392
0.23913472376641476,0.24336920450627392,0.14220973515561564
0.21063819572260378,0.31157996298645274,0.30635606389130066
0.31157996298645274,0.30635606389130066,0.3153105467804972
0.30635606389130066,0.3153105467804972,0.2160330052475914
0.30640237658869296,0.2142702313443538,0.14370520383827326
0.2142702313443538,0.14370520383827326,0.17966159678768764
0.2199833748401671,0.28989429809645717,0.31024824643983595
0.28989429809645717,0.3122791143005844,0.2558708622051823
