status,before,during,after,max_difference
status_IME,0.23279204235245554,0.27902156838603254,0.2442825207229121,0.046229526033576995
status_FEF,0.24373613427319724,0.2459063523335745,0.22431304930313678,0.021593303030437716
status_IBZ,0.2459063523335745,0.24336920450627392,0.2160330052475914,0.029873347085983104
any_pumping,0.24373613427319724,0.24336920450627392,0.21063819572260378,0.03309793855059345
