Before,During,After
0.20027019846184546,0.19734286995821537,0.18513395004085587
0.1991414602711561,0.18682991527763348,0.11770109272720153
0.18682991527763348,0.11770109272720153,0.12676469551136704
0.12676469551136704,0.17638361068788455,0.22431304930313678
0.22431304930313678,0.25455256826699224,0.2775289065933898
0.25489811911268845,0.2775289065933898,0.2706731248707043
0.2775289065933898,0.2706731248707043,0.2309509387319333
0.2309509387319333,0.2459063523335745,0.19291403424686543
0.2459063523335745,0.19291403424686543,0.20784847897857953
0.27820643497039255,0.3246676003888931,0.2878000041725696
0.32315920902792666,0.2826430673205598,0.2404548938309266
0.2872419620285933,0.23913472376641476,0.24247517099013122
0.24373613427319724,0.14220973515561564,0.21063819572260378
0.21063819572260378,0.31606041887326225,0.30635606389130066
0.31390234753296764,0.30635606389130066,0.30640237658869296
0.30635606389130066,0.2927485296111323,0.21029895805826565
0.2927485296111323,0.21029895805826565,0.14370520383827326
0.2160330052475914,0.14370520383827326,0.17966159678768764
0.14370520383827326,0.17966159678768764,0.17739409718239774
0.22558795598821424,0.28989429809645717,0.3122791143005844
0.28788206310512326,0.3122791143005844,0.25471892441156074
