Before,During,After
0.03205158900443661,0.2077898296953007,0.1905456488768681
0.2077898296953007,0.1905456488768681,0.18262633180562082
0.1905456488768681,0.18262633180562082,0.12289277075898497
0.18262633180562082,0.12289277075898497,0.1728583321630871
0.12090541590436865,0.13982622645008236,0.1766332425901519
0.21235261153924512,0.2795869183771465,0.27928124321676473
0.2795869183771465,0.27928124321676473,0.25323147316566597
0.27993948862167295,0.25323147316566597,0.21007134555568552
0.25323147316566597,0.21007134555568552,0.2459063523335745
0.16543061596960815,0.3177934267446126,0.3220031022031366
0.3220031022031366,0.2787618935553003,0.2426586891122497
0.21063819572260378,0.32063674844040274,0.31688298582840363
0.32063674844040274,0.31688298582840363,0.2817567662708609
0.31688298582840363,0.2817567662708609,0.1921061441096723
0.2817567662708609,0.1921061441096723,0.175560451775798
0.15786379156994867,0.2799717339032164,0.28214022454211174
0.2799717339032164,0.28214022454211174,0.3122791143005844
0.28214022454211174,0.3122791143005844,0.25822265888784646
