Before,During,After
0.1991414602711561,0.18682991527763348,0.11770109272720153
0.18682991527763348,0.11770109272720153,0.12676469551136704
0.12090541590436865,0.13982622645008236,0.1766332425901519
0.27641791916446734,0.23675730848397858,0.2459063523335745
0.23675730848397858,0.2459063523335745,0.19291403424686543
0.2459063523335745,0.19291403424686543,0.20784847897857953
0.2734001769470482,0.3246676003888931,0.2879510992171494
0.3246676003888931,0.2878000041725696,0.23913472376641476
0.3220031022031366,0.2787618935553003,0.2426586891122497
0.23913472376641476,0.24336920450627392,0.14220973515561564
0.24373613427319724,0.14220973515561564,0.21063819572260378
0.21063819572260378,0.31157996298645274,0.30635606389130066
0.30635606389130066,0.3153105467804972,0.2160330052475914
