lag,mean,std
-96,0.1925327165061883,0.07566475845517899
-95,0.19432759779519193,0.07540417161680393
-94,0.19560641335847295,0.07541318537400783
-93,0.1974015706612024,0.07611315030808702
-92,0.19914243883971747,0.07575084907594931
-91,0.2003099193554485,0.07681310330368579
-90,0.20001924156227838,0.07712463367558901
-89,0.19855849815376742,0.07614813094438992
-88,0.19691508762125814,0.07537505747950107
-87,0.19379601523459147,0.07473952090795949
-86,0.1901251163094929,0.07285907467576487
-85,0.18665577372851488,0.07166994329183099
-84,0.18282959320192485,0.07075865560723922
-83,0.18032649219825395,0.07046145725385253
-82,0.17931478298258266,0.07070646932942252
-81,0.17748761813522718,0.07204801359756628
-80,0.17754085897086613,0.07339741346063838
-79,0.17797382994419714,0.07511787226450095
-78,0.18045307472807223,0.07687580919565175
-77,0.18315092409675343,0.07967412705273376
-76,0.1861676823828646,0.08239532195495362
-75,0.19013519853967029,0.08605941273878509
-74,0.19579327632882895,0.08821737451276365
-73,0.20282698479231503,0.09079410292716661
-72,0.2112082275769556,0.0914823683814945
-71,0.22084032870115655,0.09170475564657597
-70,0.23347564053230738,0.09213302325745291
-69,0.24420913853321577,0.09151930059861547
-68,0.2529742849157605,0.09032787201914198
-67,0.25986859120361655,0.08809178965098174
-66,0.26464773086133897,0.08596849248830873
-65,0.2680717581627487,0.08376743938275064
-64,0.26962484407947024,0.08266316565428808
-63,0.27108076132283504,0.08120940516968722
-62,0.2697662294133567,0.08081387197904749
-61,0.26722095004745516,0.07915381293056496
-60,0.2626448587470867,0.0788247858187804
-59,0.2581562180552156,0.07785722733491217
-58,0.25370141540281044,0.07854314514075914
-57,0.24870737885841476,0.07860586546256303
-56,0.24404466553896395,0.07932339734195928
-55,0.24029228920517265,0.07912051571321654
-54,0.23733619556990462,0.07944872126583336
-53,0.23219609560087695,0.07967958415614057
-52,0.22624479474783218,0.08042671755866526
-51,0.22408451517134925,0.08074294021894224
-50,0.22419556465695537,0.08102391218624704
-49,0.2264366913578877,0.08159670351672547
-48,0.23055001391467791,0.08006071843696651
-47,0.2349330409746248,0.07851147184056435
-46,0.23838768573380278,0.07648719517340824
-45,0.24219757316655968,0.07458015373767295
-44,0.24440863990620726,0.07239291111089498
-43,0.24588308657420344,0.07030471348237345
-42,0.24625772672296978,0.06803146466051377
-41,0.24424913305989523,0.06563305499784655
-40,0.2414687453266462,0.06322002299218413
-39,0.2370952446136923,0.06151589649083531
-38,0.23164778120007415,0.05886335809458964
-37,0.22556909672542885,0.057672908003811585
-36,0.22018891349954553,0.05581364377089221
-35,0.2158162117645645,0.056125891312628906
-34,0.2128771768322582,0.055861037836303445
-33,0.2103517231609077,0.056871184856481495
-32,0.20848458561967048,0.05768345941483642
-31,0.2078912807203605,0.05844507433289876
-30,0.20920216525237434,0.06085142901039218
-29,0.21112641380741065,0.062329165228493376
-28,0.21274124090981375,0.06445167355579644
-27,0.215897197563214,0.06756485858947446
-26,0.22085819916208832,0.07073566589053076
