date_time,residual
2022-07-02 12:00:00,-0.03721922849519288
2022-07-02 12:30:00,-0.054094122781428666
2022-07-02 13:00:00,-0.0650158466481443
2022-07-02 13:30:00,-0.07337787425412046
2022-07-02 14:00:00,-0.0816630839634307
2022-07-02 14:30:00,-0.08563253667221815
2022-07-02 15:00:00,-0.08444447792531662
2022-07-02 15:30:00,-0.08190205776947224
2022-07-02 16:00:00,-0.07643010668682493
2022-07-02 16:30:00,-0.06393708743267723
2022-07-02 17:00:00,-0.051833960104236354
2022-07-02 17:30:00,-0.03885782690441175
2022-07-02 18:00:00,-0.02316329953466223
2022-07-02 18:30:00,-0.01259147583714082
2022-07-02 19:00:00,-0.004274420437209159
2022-07-02 19:30:00,-0.00015568229372320275
2022-07-02 20:00:00,0.0006458955419148538
2022-07-02 20:30:00,0.003552865778566172
2022-07-02 21:00:00,-0.002547890607498715
2022-07-02 21:30:00,-0.011070276256170075
2022-07-02 22:00:00,-0.019050493294503923
2022-07-02 22:30:00,-0.03670851073065862
2022-07-02 23:00:00,-0.05198706707723488
2022-07-02 23:30:00,-0.06504242099700264
2022-07-03 00:00:00,-0.08326718892906015
2022-07-03 00:30:00,-0.09449883382503188
2022-07-03 01:00:00,-0.1060693243847659
2022-07-03 01:30:00,-0.11206386892055065
2022-07-03 02:00:00,-0.11880595708336728
2022-07-03 02:30:00,-0.12186846726259404
2022-07-03 03:00:00,-0.11854028450192189
2022-07-03 03:30:00,-0.11201513715174727
2022-07-03 04:00:00,-0.09631626549355232
2022-07-03 04:30:00,-0.08105017045101448
2022-07-03 05:00:00,-0.06655800820033164
2022-07-03 05:30:00,-0.047776595812340616
2022-07-03 06:00:00,-0.030138135193936932
2022-07-03 06:30:00,-0.008294229297352018
2022-07-03 07:00:00,0.00972014419902223
2022-07-03 07:30:00,0.023483516111522107
2022-07-03 08:00:00,0.03590138461924397
2022-07-03 08:30:00,0.038886544034340886
2022-07-03 09:00:00,0.04327402763937016
2022-07-03 09:30:00,0.045658817359836235
2022-07-03 10:00:00,0.03602271014004543
2022-07-03 10:30:00,0.030874247227625773
2022-07-03 11:00:00,0.020721147510929683
2022-07-03 11:30:00,0.010726770864270208
2022-07-03 12:00:00,-0.0024216434264268116
2022-07-03 12:30:00,-0.018375756624223527
2022-07-03 13:00:00,-0.025079150834304897
2022-07-03 13:30:00,-0.037667966821359755
2022-07-03 14:00:00,-0.042542403130486406
2022-07-03 14:30:00,-0.046673717313698404
